region_code,category_id,video_id,title,published_at,view_count,like_count,comment_count,channel_title
US,1,jM1q4145m_4,The Orville crew from another timeline,2024-06-12,921034,82624,127,Francis Clips
US,1,P2HTrM28Ww8,If Teachers Were Honest During Student Conferencesrolling_on_the_floor_laughing,2024-06-03,7696072,244461,975,Mosiah
US,1,qXFN2C2OWaI,How Caitlin Jenner Got Rich,2024-06-15,222255,23465,279,Ben Shapiro
US,2,rxcaEgoTAq0,Cop Blocks Traffic For Biker | @cheitocheito on IG,2024-06-07,13520156,1118110,7894,R6Goon
US,2,Gy0G7JAxffo,These Goggles Are The Best Ever,2024-06-08,36784649,1029190,733,Tech Moments
US,2,jyPHVCYK43w,Part 2 | He said his car was supercharged & won the piston cup and world grand prix...,2024-06-06,9322439,553863,1243,supercarscreams
US,2,FwP0K5HQiPw,This custom trike allows the legless rider to live out his dream,2024-06-09,2432816,81782,1583,Harley Davidson People
US,2,Fp4WSIwWHOo,What Should Be Next? eyesexploding_head,2024-06-15,9680855,459224,1731,Red Bull
US,2,FpUGw15IpQE,I got a great deal on these tires!,2024-06-11,2636401,52847,474,Chloe Mae
US,2,vLRlaDwON8w,This is World's Best Drift Entry,2024-06-03,15351844,336835,2668,DARWIS RAHMAN
US,2,Djv0JJMIINQ,They bet us $100 we wouldn’t fitupside-down_facehead_shaking_horizontally...,2024-06-08,5296763,334711,1598,Sallie-Grace
US,2,L2xz5yoizwQ,How I Drive My Lifted Truck!,2024-06-08,2006171,139574,1750,Caden Teneycke
US,2,AamvVToACSs,"When everyone is eyeing your car, let HornGun handle it! automobilecamera_with_flash",2024-06-15,29566181,632317,474,BossHorn - Train Horns with Remote Control
US,2,2MMRnfDEqL8,Driver asking for a problem,2024-05-25,1546201,40434,1858,American Filipino Mix
US,2,dtf4YFijW9A,Better late than never grinning_face_with_sweat,2024-06-10,983328,61558,191,Nitrocross
US,2,V3BEN2YaJDc,Tesla’s are a cheat code off the line..,2024-06-05,5967193,411409,9368,doubt
US,2,RuYNEQFQdoY,The Car Suddenly Started Moving flushed_face,2024-06-09,2553347,50312,673,ViralVIPs
US,2,pd2_tEzUIv4,IS THIS WHY SINGLE IS BETTER? | TKTV,2024-06-14,911715,51953,880,TKtv
US,2,PTXPMHEQDr8,How Supercars are meant to be driven,2024-06-10,2158342,159908,1119,Exotic Rubber
US,2,1n5o8qBrlts,Turning Rotors is Wrong,2024-06-13,909975,36578,2171,Dave's Auto Center
